"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"group_1096","","hypothetical protein","4","4","1","23","39","","","","656","656","656","LOCUS_47010","f76cef297a7dedb9150c88bc61db4d5a_4809","d0dc75faf82af35216c4087e568ab6aa_2910","e27c64c29733013eb4c363b5c7ab13b8_4735"
"dusB","","tRNA-dihydrouridine synthase B","4","4","1","7","202","","","","872","872","872","LOCUS_31510","f76cef297a7dedb9150c88bc61db4d5a_759","d0dc75faf82af35216c4087e568ab6aa_2464","e27c64c29733013eb4c363b5c7ab13b8_1522"
"group_1098","","hypothetical protein","4","4","1","8","188","","","","218","218","218","LOCUS_08760","f76cef297a7dedb9150c88bc61db4d5a_3063","d0dc75faf82af35216c4087e568ab6aa_1528","e27c64c29733013eb4c363b5c7ab13b8_1847"
"yjfJ","","PspA/IM30 family protein","4","4","1","11","70","","","","698","698","698","LOCUS_46280","f76cef297a7dedb9150c88bc61db4d5a_2391","d0dc75faf82af35216c4087e568ab6aa_2048","e27c64c29733013eb4c363b5c7ab13b8_3331"
"group_11","","Fml fimbriae subunit","4","4","1","2","475","","","","563","611","575","LOCUS_00080","f76cef297a7dedb9150c88bc61db4d5a_461","d0dc75faf82af35216c4087e568ab6aa_2549","e27c64c29733013eb4c363b5c7ab13b8_1674"
"group_1100","","Cro/Cl family transcriptional regulator","4","4","1","6","19","","","","947","947","947","LOCUS_39820","f76cef297a7dedb9150c88bc61db4d5a_1719","d0dc75faf82af35216c4087e568ab6aa_3768","e27c64c29733013eb4c363b5c7ab13b8_920"
"group_1101","","mannose-6-phosphate isomerase","4","4","1","2","438","","","","1175","1175","1175","LOCUS_00740","f76cef297a7dedb9150c88bc61db4d5a_395","d0dc75faf82af35216c4087e568ab6aa_958","e27c64c29733013eb4c363b5c7ab13b8_1740"
"group_1102","","hypothetical protein","4","4","1","3","341","","","","524","524","524","LOCUS_48470","f76cef297a7dedb9150c88bc61db4d5a_558","d0dc75faf82af35216c4087e568ab6aa_4927","e27c64c29733013eb4c363b5c7ab13b8_4498"
"nagC","","N-acetylglucosamine repressor","4","4","1","1","219","","","","1220","1220","1220","LOCUS_22480","f76cef297a7dedb9150c88bc61db4d5a_2528","d0dc75faf82af35216c4087e568ab6aa_1070","e27c64c29733013eb4c363b5c7ab13b8_1953"
"group_1104","","sugar ABC transporter ATP-binding protein","4","4","1","1","397","","","","1082","1082","1082","LOCUS_20620","f76cef297a7dedb9150c88bc61db4d5a_3174","d0dc75faf82af35216c4087e568ab6aa_395","e27c64c29733013eb4c363b5c7ab13b8_1172"
"group_1105","","PTS fructose transporter subunit IIA","4","4","1","12","99","","","","470","470","470","LOCUS_32360","f76cef297a7dedb9150c88bc61db4d5a_2267","d0dc75faf82af35216c4087e568ab6aa_2661","e27c64c29733013eb4c363b5c7ab13b8_1568"
"group_1106","","hypothetical protein","4","4","1","3","30","","","","731","731","731","LOCUS_24390","f76cef297a7dedb9150c88bc61db4d5a_4084","d0dc75faf82af35216c4087e568ab6aa_4730","e27c64c29733013eb4c363b5c7ab13b8_28"
"group_1107","","hypothetical protein","4","4","1","23","5","","","","179","179","179","LOCUS_48390","f76cef297a7dedb9150c88bc61db4d5a_4120","d0dc75faf82af35216c4087e568ab6aa_4909","e27c64c29733013eb4c363b5c7ab13b8_4228"
"group_1108","","hypothetical protein","4","4","1","22","45","","","","203","203","203","LOCUS_25140","f76cef297a7dedb9150c88bc61db4d5a_4512","d0dc75faf82af35216c4087e568ab6aa_4036","e27c64c29733013eb4c363b5c7ab13b8_3542"
"group_1109","","hypothetical protein","4","4","1","13","9","","","","218","218","218","LOCUS_14500","f76cef297a7dedb9150c88bc61db4d5a_3427","d0dc75faf82af35216c4087e568ab6aa_1191","e27c64c29733013eb4c363b5c7ab13b8_3143"
"group_111","","hypothetical protein","4","4","1","7","207","","","","251","314","298","LOCUS_31460","f76cef297a7dedb9150c88bc61db4d5a_764","d0dc75faf82af35216c4087e568ab6aa_2459","e27c64c29733013eb4c363b5c7ab13b8_1517"
"napA","","periplasmic nitrate reductase","4","4","1","10","94","","","","2486","2486","2486","LOCUS_12660","f76cef297a7dedb9150c88bc61db4d5a_4154","d0dc75faf82af35216c4087e568ab6aa_3417","e27c64c29733013eb4c363b5c7ab13b8_2948"
"group_1111","","hypothetical protein","4","4","1","1","659","","","","1970","1970","1970","LOCUS_34520","f76cef297a7dedb9150c88bc61db4d5a_4569","d0dc75faf82af35216c4087e568ab6aa_4717","e27c64c29733013eb4c363b5c7ab13b8_4824"
"murI","","glutamate racemase","4","4","1","13","69","","","","857","857","857","LOCUS_46980","f76cef297a7dedb9150c88bc61db4d5a_4759","d0dc75faf82af35216c4087e568ab6aa_4637","e27c64c29733013eb4c363b5c7ab13b8_3869"
"group_1113","","membrane protein","4","4","1","8","89","","","","404","404","404","LOCUS_32940","f76cef297a7dedb9150c88bc61db4d5a_4259","d0dc75faf82af35216c4087e568ab6aa_4847","e27c64c29733013eb4c363b5c7ab13b8_1927"
"ung","","uracil-DNA glycosylase","4","4","1","16","13","","","","689","689","689","LOCUS_13580","f76cef297a7dedb9150c88bc61db4d5a_3264","d0dc75faf82af35216c4087e568ab6aa_3328","e27c64c29733013eb4c363b5c7ab13b8_2248"
"group_1115","","hypothetical protein","4","4","1","17","35","","","","623","623","623","LOCUS_16730","f76cef297a7dedb9150c88bc61db4d5a_3518","d0dc75faf82af35216c4087e568ab6aa_3997","e27c64c29733013eb4c363b5c7ab13b8_4416"
"argP","","HTH-type transcriptional regulator ArgP","4","4","1","3","54","","","","893","893","893","LOCUS_24630","f76cef297a7dedb9150c88bc61db4d5a_2024","d0dc75faf82af35216c4087e568ab6aa_629","e27c64c29733013eb4c363b5c7ab13b8_52"
"group_1117","","host specificity protein J","4","4","1","30","18","","","","3482","3482","3482","LOCUS_43490","f76cef297a7dedb9150c88bc61db4d5a_4542","d0dc75faf82af35216c4087e568ab6aa_4528","e27c64c29733013eb4c363b5c7ab13b8_4810"
"group_1118","","DeoR family transcriptional regulator","4","4","1","1","430","","","","749","749","749","LOCUS_36680","f76cef297a7dedb9150c88bc61db4d5a_3141","d0dc75faf82af35216c4087e568ab6aa_428","e27c64c29733013eb4c363b5c7ab13b8_1205"
"atoE","","short-chain fatty acids transporter","4","4","1","10","112","","","","1322","1322","1322","LOCUS_12480","f76cef297a7dedb9150c88bc61db4d5a_2154","d0dc75faf82af35216c4087e568ab6aa_2856","e27c64c29733013eb4c363b5c7ab13b8_2966"
"prmA","","ribosomal protein L11 methyltransferase","4","4","1","7","203","","","","881","944","896","LOCUS_31500","f76cef297a7dedb9150c88bc61db4d5a_760","d0dc75faf82af35216c4087e568ab6aa_2463","e27c64c29733013eb4c363b5c7ab13b8_1521"
"yaeH","","UPF0325 protein YaeH","4","4","1","19","52","","","","386","386","386","LOCUS_11850","f76cef297a7dedb9150c88bc61db4d5a_3614","d0dc75faf82af35216c4087e568ab6aa_1665","e27c64c29733013eb4c363b5c7ab13b8_2883"
"rpsI","","30S ribosomal protein S9","4","4","1","7","169","","","","392","392","392","LOCUS_05890","f76cef297a7dedb9150c88bc61db4d5a_797","d0dc75faf82af35216c4087e568ab6aa_839","e27c64c29733013eb4c363b5c7ab13b8_1484"
"group_1122","","hypothetical protein","4","4","1","26","23","","","","422","422","422","LOCUS_42920","f76cef297a7dedb9150c88bc61db4d5a_4439","d0dc75faf82af35216c4087e568ab6aa_3811","e27c64c29733013eb4c363b5c7ab13b8_4177"
"group_1123","","ArsR family transcriptional regulator","4","4","1","3","410","","","","269","269","269","LOCUS_23070","f76cef297a7dedb9150c88bc61db4d5a_521","d0dc75faf82af35216c4087e568ab6aa_2242","e27c64c29733013eb4c363b5c7ab13b8_3578"
"group_1124","","sugar ABC transporter ATP-binding protein","4","4","1","25","25","","","","1484","1484","1484","LOCUS_28240","f76cef297a7dedb9150c88bc61db4d5a_3761","d0dc75faf82af35216c4087e568ab6aa_2359","e27c64c29733013eb4c363b5c7ab13b8_3703"
"group_1125","","hypothetical protein","4","4","1","22","47","","","","569","569","569","LOCUS_25120","f76cef297a7dedb9150c88bc61db4d5a_4514","d0dc75faf82af35216c4087e568ab6aa_4034","e27c64c29733013eb4c363b5c7ab13b8_3540"
"ubiA","","4-hydroxybenzoate octaprenyltransferase","4","4","1","6","214","","","","872","872","872","LOCUS_15790","f76cef297a7dedb9150c88bc61db4d5a_1702","d0dc75faf82af35216c4087e568ab6aa_3276","e27c64c29733013eb4c363b5c7ab13b8_903"
"group_1127","","sugar-phosphatase","4","4","1","5","99","","","","815","815","815","LOCUS_06540","f76cef297a7dedb9150c88bc61db4d5a_1057","d0dc75faf82af35216c4087e568ab6aa_659","e27c64c29733013eb4c363b5c7ab13b8_480"
"group_1128","rop","rop protein","4","4","1","38","4","","","","191","191","191","LOCUS_47330","f76cef297a7dedb9150c88bc61db4d5a_4909","d0dc75faf82af35216c4087e568ab6aa_4710","e27c64c29733013eb4c363b5c7ab13b8_4878"
"fumC","","fumarate hydratase class II","4","4","1","2","440","","","","1403","1403","1403","LOCUS_00720","f76cef297a7dedb9150c88bc61db4d5a_397","d0dc75faf82af35216c4087e568ab6aa_956","e27c64c29733013eb4c363b5c7ab13b8_1738"
"ligB","","DNA ligase B","4","4","1","12","114","","","","1517","1682","1640","LOCUS_32200","f76cef297a7dedb9150c88bc61db4d5a_2282","d0dc75faf82af35216c4087e568ab6aa_2646","e27c64c29733013eb4c363b5c7ab13b8_1553"
"yjhB","","putative metabolite transport protein YjhB","4","4","1","6","28","","","","1217","1217","1217","LOCUS_34050","f76cef297a7dedb9150c88bc61db4d5a_3974","d0dc75faf82af35216c4087e568ab6aa_2746","e27c64c29733013eb4c363b5c7ab13b8_4508"
"group_1131","","DUF2635 domain-containing protein","4","4","1","3","413","","","","170","170","170","LOCUS_23040","f76cef297a7dedb9150c88bc61db4d5a_524","d0dc75faf82af35216c4087e568ab6aa_2239","e27c64c29733013eb4c363b5c7ab13b8_3575"
"group_1132","","hypothetical protein","4","4","1","22","14","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","179","179","179","LOCUS_24860","f76cef297a7dedb9150c88bc61db4d5a_3948","d0dc75faf82af35216c4087e568ab6aa_2681","e27c64c29733013eb4c363b5c7ab13b8_3510"
"gpmI","","2,3-bisphosphoglycerate-independent phosphoglycerate mutase","4","4","1","14","22","","","","1544","1544","1544","LOCUS_17980","f76cef297a7dedb9150c88bc61db4d5a_3920","d0dc75faf82af35216c4087e568ab6aa_236","e27c64c29733013eb4c363b5c7ab13b8_2149"
"group_1134","","hypothetical protein","4","4","1","27","26","","","","575","575","575","LOCUS_37000","f76cef297a7dedb9150c88bc61db4d5a_4940","d0dc75faf82af35216c4087e568ab6aa_4754","e27c64c29733013eb4c363b5c7ab13b8_4155"
"group_1135","","hypothetical protein","4","4","1","2","306","","","","677","677","677","LOCUS_02060","f76cef297a7dedb9150c88bc61db4d5a_261","d0dc75faf82af35216c4087e568ab6aa_67","e27c64c29733013eb4c363b5c7ab13b8_642"
"group_1136","yeeT","hypothetical protein","4","4","1","6","90","","","","221","221","221","LOCUS_41490","f76cef297a7dedb9150c88bc61db4d5a_4329","d0dc75faf82af35216c4087e568ab6aa_3672","e27c64c29733013eb4c363b5c7ab13b8_3883"
"dsbG","","thiol:disulfide interchange protein DsbG","4","4","1","1","271","","","","746","746","746","LOCUS_17480","f76cef297a7dedb9150c88bc61db4d5a_2469","d0dc75faf82af35216c4087e568ab6aa_1841","e27c64c29733013eb4c363b5c7ab13b8_2012"
"group_1138","","iron(3+)-hydroxamate import ATP-binding protein FhuC","4","4","1","19","64","","","","797","797","797","LOCUS_11730","f76cef297a7dedb9150c88bc61db4d5a_3626","d0dc75faf82af35216c4087e568ab6aa_1677","e27c64c29733013eb4c363b5c7ab13b8_2871"
"hypB","","hydrogenase isoenzymes nickel incorporation protein HypB","4","4","1","3","265","","","","872","872","872","LOCUS_07640","f76cef297a7dedb9150c88bc61db4d5a_639","d0dc75faf82af35216c4087e568ab6aa_1467","e27c64c29733013eb4c363b5c7ab13b8_267"
"group_114","","fructokinase","4","4","1","12","104","","","","932","965","940","LOCUS_32310","f76cef297a7dedb9150c88bc61db4d5a_2272","d0dc75faf82af35216c4087e568ab6aa_2656","e27c64c29733013eb4c363b5c7ab13b8_1563"
"group_1140","","transcriptional regulator","4","4","1","1","842","","","","215","215","215","LOCUS_02260","f76cef297a7dedb9150c88bc61db4d5a_2909","d0dc75faf82af35216c4087e568ab6aa_4594","e27c64c29733013eb4c363b5c7ab13b8_2372"
"hybA","","hydrogenase","4","4","1","20","54","","","","986","986","986","LOCUS_31700","f76cef297a7dedb9150c88bc61db4d5a_3486","d0dc75faf82af35216c4087e568ab6aa_2620","e27c64c29733013eb4c363b5c7ab13b8_2789"
"group_1142","","transcriptional regulator","4","4","1","21","18","","","","767","767","767","LOCUS_33190","f76cef297a7dedb9150c88bc61db4d5a_3878","d0dc75faf82af35216c4087e568ab6aa_2166","e27c64c29733013eb4c363b5c7ab13b8_3980"
"purR","","HTH-type transcriptional repressor PurR","4","4","1","2","394","","","","1025","1025","1025","LOCUS_01180","f76cef297a7dedb9150c88bc61db4d5a_351","d0dc75faf82af35216c4087e568ab6aa_1002","e27c64c29733013eb4c363b5c7ab13b8_1784"
"secG","","protein-export membrane protein SecG","4","4","1","7","122","","","","332","332","332","LOCUS_05420","f76cef297a7dedb9150c88bc61db4d5a_844","d0dc75faf82af35216c4087e568ab6aa_792","e27c64c29733013eb4c363b5c7ab13b8_1437"
"group_1145","","hypothetical protein","4","4","1","9","120","","","","542","542","542","LOCUS_31170","f76cef297a7dedb9150c88bc61db4d5a_1459","d0dc75faf82af35216c4087e568ab6aa_491","e27c64c29733013eb4c363b5c7ab13b8_2454"
"group_1146","","dihydroxyacetone kinase subunit DhaL","4","4","1","1","717","","","","632","632","632","LOCUS_15950","f76cef297a7dedb9150c88bc61db4d5a_2603","d0dc75faf82af35216c4087e568ab6aa_329","e27c64c29733013eb4c363b5c7ab13b8_3469"
"group_1147","","transcriptional regulator","4","4","1","9","136","","","","731","731","731","LOCUS_37760","f76cef297a7dedb9150c88bc61db4d5a_1443","d0dc75faf82af35216c4087e568ab6aa_507","e27c64c29733013eb4c363b5c7ab13b8_2438"
"ygdB","","hypothetical protein","4","4","1","3","144","","","","407","407","407","LOCUS_19610","f76cef297a7dedb9150c88bc61db4d5a_1933","d0dc75faf82af35216c4087e568ab6aa_3005","e27c64c29733013eb4c363b5c7ab13b8_143"
"yjhS","","9-O-acetyl-N-acetylneuraminic acid deacetylase","4","4","1","4","25","","","","1007","1007","1007","LOCUS_40300","f76cef297a7dedb9150c88bc61db4d5a_3836","d0dc75faf82af35216c4087e568ab6aa_3595","e27c64c29733013eb4c363b5c7ab13b8_4309"
"group_115","","2-hydroxyacid dehydrogenase","4","4","1","12","95","","","","992","1037","1025","LOCUS_32400","f76cef297a7dedb9150c88bc61db4d5a_2262","d0dc75faf82af35216c4087e568ab6aa_4915","e27c64c29733013eb4c363b5c7ab13b8_1573"
"folD","","bifunctional protein FolD","4","4","1","1","636","","","","866","866","866","LOCUS_09540","f76cef297a7dedb9150c88bc61db4d5a_1901","d0dc75faf82af35216c4087e568ab6aa_3746","e27c64c29733013eb4c363b5c7ab13b8_1248"
"fliI","","flagellum-specific ATP synthase FliI","4","4","1","2","132","","","","1373","1373","1373","LOCUS_41820","f76cef297a7dedb9150c88bc61db4d5a_83","d0dc75faf82af35216c4087e568ab6aa_3707","e27c64c29733013eb4c363b5c7ab13b8_3766"
"manX","","PTS system mannose-specific EIIAB component","4","4","1","2","246","","","","971","971","971","LOCUS_19750","f76cef297a7dedb9150c88bc61db4d5a_201","d0dc75faf82af35216c4087e568ab6aa_7","e27c64c29733013eb4c363b5c7ab13b8_702"
"dsdA","","D-serine dehydratase","4","4","1","8","151","","","","1328","1328","1328","LOCUS_44070","f76cef297a7dedb9150c88bc61db4d5a_3021","d0dc75faf82af35216c4087e568ab6aa_4123","e27c64c29733013eb4c363b5c7ab13b8_1805"
"wcaA","","colanic acid biosynthesis glycosyltransferase WcaA","4","4","1","9","26","","","","839","839","839","LOCUS_21170","f76cef297a7dedb9150c88bc61db4d5a_1553","d0dc75faf82af35216c4087e568ab6aa_3346","e27c64c29733013eb4c363b5c7ab13b8_2734"
"wzyE","","putative ECA polymerase","4","4","1","22","28","","","","1352","1352","1352","LOCUS_25000","f76cef297a7dedb9150c88bc61db4d5a_3962","d0dc75faf82af35216c4087e568ab6aa_2695","e27c64c29733013eb4c363b5c7ab13b8_3524"
"tig","","trigger factor","4","4","1","1","542","","","","1289","1289","1289","LOCUS_10480","f76cef297a7dedb9150c88bc61db4d5a_1807","d0dc75faf82af35216c4087e568ab6aa_1397","e27c64c29733013eb4c363b5c7ab13b8_1342"
"rplX","","50S ribosomal protein L24","4","4","1","24","36","","","","314","314","314","LOCUS_40680","f76cef297a7dedb9150c88bc61db4d5a_4299","d0dc75faf82af35216c4087e568ab6aa_3542","e27c64c29733013eb4c363b5c7ab13b8_4369"
"yfbR","","5'-deoxynucleotidase YfbR","4","4","1","10","48","","","","599","599","599","LOCUS_18680","f76cef297a7dedb9150c88bc61db4d5a_2090","d0dc75faf82af35216c4087e568ab6aa_2432","e27c64c29733013eb4c363b5c7ab13b8_3403"
"mntH","","divalent metal cation transporter MntH","4","4","1","8","176","","","","1175","1175","1175","LOCUS_08640","f76cef297a7dedb9150c88bc61db4d5a_3046","d0dc75faf82af35216c4087e568ab6aa_1510","e27c64c29733013eb4c363b5c7ab13b8_1830"
"group_116","","repressor","4","4","1","8","46","","","","359","650","504","LOCUS_32510","f76cef297a7dedb9150c88bc61db4d5a_4016","d0dc75faf82af35216c4087e568ab6aa_2922","e27c64c29733013eb4c363b5c7ab13b8_4080"
"secE","","protein translocase subunit SecE","4","4","1","29","5","","","","383","383","383","LOCUS_35490","f76cef297a7dedb9150c88bc61db4d5a_4208","d0dc75faf82af35216c4087e568ab6aa_3033","e27c64c29733013eb4c363b5c7ab13b8_4284"
"gltA","","citrate synthase","4","4","1","1","178","","","","1283","1283","1283","LOCUS_37490","f76cef297a7dedb9150c88bc61db4d5a_4140","d0dc75faf82af35216c4087e568ab6aa_1029","e27c64c29733013eb4c363b5c7ab13b8_4242"
"yeeU","","antitoxin","4","4","1","6","95","","","","368","368","368","LOCUS_41690","f76cef297a7dedb9150c88bc61db4d5a_1582","d0dc75faf82af35216c4087e568ab6aa_4392","e27c64c29733013eb4c363b5c7ab13b8_783"
"sfsB","","sugar fermentation stimulation protein B","4","4","1","7","135","","","","278","278","278","LOCUS_05550","f76cef297a7dedb9150c88bc61db4d5a_831","d0dc75faf82af35216c4087e568ab6aa_805","e27c64c29733013eb4c363b5c7ab13b8_1450"
"group_1164","","miniconductance mechanosensitive channel MscM","4","4","1","11","50","","","","3323","3323","3323","LOCUS_34960","f76cef297a7dedb9150c88bc61db4d5a_2414","d0dc75faf82af35216c4087e568ab6aa_2071","e27c64c29733013eb4c363b5c7ab13b8_3308"
"group_1165","","hypothetical protein","4","4","1","1","591","","","","341","341","341","LOCUS_09990","f76cef297a7dedb9150c88bc61db4d5a_1856","d0dc75faf82af35216c4087e568ab6aa_2972","e27c64c29733013eb4c363b5c7ab13b8_1293"
"group_1166","","hypothetical protein","4","4","1","2","49","","","","197","197","197","LOCUS_47780","f76cef297a7dedb9150c88bc61db4d5a_4947","d0dc75faf82af35216c4087e568ab6aa_4463","e27c64c29733013eb4c363b5c7ab13b8_4894"
"group_1167","","hypothetical protein","4","4","1","4","54","","","","2093","2093","2093","LOCUS_33610","f76cef297a7dedb9150c88bc61db4d5a_1379","d0dc75faf82af35216c4087e568ab6aa_3606","e27c64c29733013eb4c363b5c7ab13b8_1067"
"trkA","","Trk system potassium uptake protein TrkA","4","4","1","24","17","","","","1376","1376","1376","LOCUS_40870","f76cef297a7dedb9150c88bc61db4d5a_4318","d0dc75faf82af35216c4087e568ab6aa_3561","e27c64c29733013eb4c363b5c7ab13b8_4350"
"group_1169","","PTS galactitol transporter subunit IIC","4","4","1","9","101","","","","1355","1355","1355","LOCUS_30980","f76cef297a7dedb9150c88bc61db4d5a_1478","d0dc75faf82af35216c4087e568ab6aa_472","e27c64c29733013eb4c363b5c7ab13b8_2473"
"group_117","","hypothetical protein","4","4","1","8","52","","","","164","206","185","LOCUS_32570","f76cef297a7dedb9150c88bc61db4d5a_4022","d0dc75faf82af35216c4087e568ab6aa_2928","e27c64c29733013eb4c363b5c7ab13b8_4086"
"yedQ","","diguanylate cyclase","4","4","1","2","118","","","","1676","1676","1676","LOCUS_41960","f76cef297a7dedb9150c88bc61db4d5a_69","d0dc75faf82af35216c4087e568ab6aa_3721","e27c64c29733013eb4c363b5c7ab13b8_3780"
"rsmH","","ribosomal RNA small subunit methyltransferase H","4","4","1","4","177","","","","941","941","941","LOCUS_28700","f76cef297a7dedb9150c88bc61db4d5a_1234","d0dc75faf82af35216c4087e568ab6aa_2807","e27c64c29733013eb4c363b5c7ab13b8_4005"
"psuG","","pseudouridine-5'-phosphate glycosidase","4","4","1","9","182","","","","938","938","938","LOCUS_33880","f76cef297a7dedb9150c88bc61db4d5a_1406","d0dc75faf82af35216c4087e568ab6aa_543","e27c64c29733013eb4c363b5c7ab13b8_2402"
"group_1173","","nitrate reductase subunit alpha","4","4","1","17","7","","","","3740","3740","3740","LOCUS_41050","f76cef297a7dedb9150c88bc61db4d5a_4372","d0dc75faf82af35216c4087e568ab6aa_3397","e27c64c29733013eb4c363b5c7ab13b8_4390"
"yfeX","","deferrochelatase/peroxidase","4","4","1","8","208","","","","899","899","899","LOCUS_08950","f76cef297a7dedb9150c88bc61db4d5a_3082","d0dc75faf82af35216c4087e568ab6aa_1547","e27c64c29733013eb4c363b5c7ab13b8_1866"
"group_1175","","phosphoesterase","4","4","1","10","39","","","","551","551","551","LOCUS_18770","f76cef297a7dedb9150c88bc61db4d5a_2081","d0dc75faf82af35216c4087e568ab6aa_2423","e27c64c29733013eb4c363b5c7ab13b8_3394"
